Station,Category,Zone,LineCount,TotPlatforms,WeekdayEnEx,SaturdayEnEx,SundayEnEx,TotalEnExCount,Year
Tottenham Court Road,Destination,1,2,6,118147,105009,67705,39.35,2016
Tottenham Court Road,Destination,1,2,6,126015,126015,65795,39.19,2017
Tottenham Court Road,Destination,1,2,6,127575,106869,67870,38.65,2018
Tottenham Court Road,Destination,1,2,6,135048,122334,72015,41.99,2019
Tottenham Court Road,Destination,1,2,6,12791,6362,4041,6.05,2020
Tottenham Court Road,Destination,1,2,6,70013,87970,47681,16.04,2021
Upminster,Local,6,1,3,16635,9435,4415,4.96,2013
Upminster,Local,6,1,3,17185,10057,4836,5.16,2014
Upminster,Local,6,1,3,17167,9936,4758,5.14,2015
Upminster,Local,6,1,3,17731,10608,5115,5.34,2016
Upminster,Local,6,1,3,18387,18387,5109,5.27,2017
Upminster,Local,6,1,3,14969,8968,5449,4.34,2018
Upminster,Local,6,1,3,16321,9675,5249,4.76,2019
Upminster,Local,6,1,3,5191,2222,1851,2.44,2020
Upminster,Local,6,1,3,10855,8085,4670,2.21,2021
Uxbridge,Local,6,2,3,24843,14275,9489,7.59,2013
Uxbridge,Local,6,2,3,26109,16280,10550,8.07,2014
Uxbridge,Local,6,2,3,27195,16073,10600,8.34,2015
Uxbridge,Local,6,2,3,27480,16593,10799,8.45,2016
Uxbridge,Local,6,2,3,27345,27345,10450,7.98,2017
Uxbridge,Local,6,2,3,27241,16069,10606,7.91,2018
Uxbridge,Local,6,2,3,27380,15639,10517,7.99,2019
Uxbridge,Local,6,2,3,8551,4128,2730,4.03,2020
Uxbridge,Local,6,2,3,17084,12213,7948,3.49,2021
Wembley Park,Destination,4,2,5,35775,26836,21840,11.74,2013
Wembley Park,Destination,4,2,5,41507,36499,28971,14.11,2014
Wembley Park,Destination,4,2,5,43311,36977,28171,14.54,2015
Wembley Park,Destination,4,2,5,45703,36824,27558,15.1,2016
Wembley Park,Destination,4,2,5,50074,50074,27850,15.71,2017
Wembley Park,Destination,4,2,5,49595,43459,33202,15.47,2018
Wembley Park,Destination,4,2,5,49652,41965,28859,15.42,2019
Wembley Park,Destination,4,2,5,16978,9810,7102,8.29,2020
Wembley Park,Destination,4,2,5,35695,36259,24458,7.89,2021
West Ham,Metro,3,3,4,10299,8481,6004,3.4,2013
West Ham,Metro,3,3,4,10586,8948,6186,3.51,2014
